uri,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,duration_ms_y,liveness,tempo,time_signature,valence,album_release_date
spotify:track:153lvgqeVmgfUClm7FoMLv,17,0.529,0.612,0,-8.442,1,0.0363,0.341,0.0121,275382,0.0892,130.107,4,0.307,2021-08-26
spotify:track:2yABOFCe9Z58HGmn821UT7,12,0.673,0.646,5,-10.138,1,0.0781,0.0122,0.0915,170323,0.32,92.97,4,0.87,2021-08-27
spotify:track:5jzIsp8uWTTeCaUr6xdMeF,4,0.768,0.553,3,-11.895,0,0.0316,0.804,0.704,220503,0.1,108.649,4,0.837,2021-08-20
spotify:track:3RFBbHmPWuDI9kkIjEuPSR,22,0.715,0.736,1,-8.832,0,0.0461,0.059,0.546,337478,0.123,115.999,4,0.342,2022-06-29
spotify:track:1ovBgS6MiR4uGDfO9bpfpR,11,0.896,0.559,5,-5.583,0,0.0532,0.116,0.226,202125,0.341,104.009,4,0.882,2021-08-06
spotify:track:254ZOUlAUfeVDjcMlOutZA,30,0.507,0.831,2,-6.351,1,0.0461,0.0128,0.000123,176706,0.126,140.009,4,0.349,2021-08-18
spotify:track:0M2YNYQs41DQ7AYueuYD62,7,0.732,0.56,4,-7.778,0,0.0321,0.249,0.776,277494,0.364,126.026,4,0.578,2021-07-30
spotify:track:3ITYpQ00iJ74BJHdXDg3DQ,14,0.673,0.862,2,-5.832,1,0.0311,0.143,2.86e-05,169083,0.3,135.0,4,0.807,2021-08-06
spotify:track:6VvSIHWXEVdKIICONsm2YX,0,0.702,0.785,2,-6.033,1,0.0426,0.0325,0.000237,214000,0.155,132.059,4,0.626,2021-08-11
spotify:track:3l6HQBxerGdiRQVJJ6aNnF,9,0.686,0.821,6,-6.034,1,0.178,0.132,0.0,199853,0.188,136.001,4,0.505,2021-08-04
spotify:track:23O0WcfFnRUWfnKE3uOyA6,13,0.345,0.675,7,-9.529,0,0.111,0.216,0.0378,185568,0.435,163.554,4,0.61,2021-07-16
spotify:track:4N5JhudHz0Wlj9r3FDpGyi,30,0.693,0.611,8,-7.222,1,0.0452,0.0409,0.761,180400,0.0835,124.554,4,0.443,2021-07-27
spotify:track:401tXYrXhXk3gLIT6ADJXq,5,0.455,0.379,7,-9.883,0,0.0841,0.835,0.0,222717,0.219,115.847,5,0.33,2021-07-23
spotify:track:4Yu599Am0GHlAMsnq158GD,37,0.313,0.376,2,-11.753,1,0.0294,0.412,0.00835,197840,0.104,203.346,4,0.33,2021-07-23
spotify:track:6cc0aU3UwzVxpJ4hzqGedK,32,0.837,0.404,9,-11.471,0,0.0334,0.00643,0.00396,256665,0.0654,107.022,4,0.592,2021-07-21
spotify:track:5eRZhql4zgWKUNwbHv7E80,7,0.55,0.328,9,-10.817,1,0.0294,0.552,0.00127,266561,0.0975,181.814,4,0.492,2022-06-03
spotify:track:3AK831KuNoJpmjz3RO2Jub,21,0.677,0.718,4,-5.392,1,0.0684,0.161,0.00284,146307,0.0431,142.925,4,0.844,2021-06-25
spotify:track:7CV6uU2NeFPOqC6Uqf8eMX,5,0.616,0.508,6,-7.224,0,0.0227,0.374,0.00837,224941,0.151,95.012,4,0.402,2021-06-10
spotify:track:1ypxlH0Ay2kjsyuHEHJsLF,35,0.554,0.922,5,-3.895,1,0.0998,0.0193,0.000849,263547,0.0672,168.055,4,0.559,2021-06-25
spotify:track:3dEpamDUBzRsvqFCsqsbca,18,0.541,0.782,2,-4.94,1,0.0355,0.000164,0.667,195320,0.531,125.212,4,0.518,2021-06-09
spotify:track:49SudSFHwgnwMprTAYqa0p,26,0.637,0.712,0,-6.916,1,0.0371,0.0117,0.00541,238958,0.362,100.015,4,0.765,2021-06-03
spotify:track:0rXUCPLUNB0LYoJ9NhMZ47,9,0.38,0.878,2,-7.572,1,0.0584,0.000586,0.731,191090,0.2,164.002,4,0.0627,2021-05-07
spotify:track:6mWEpl3MrWWhCaQV2Ir47j,5,0.777,0.61,11,-8.373,0,0.0393,0.000234,0.785,355135,0.222,111.011,4,0.844,2021-05-12
spotify:track:66f1ikubGWohX1J5t4BKi9,24,0.553,0.823,7,-4.044,0,0.0291,0.0557,0.00686,204000,0.42,126.934,4,0.586,2021-06-02
spotify:track:3mi8QE4ZiwcsvnDPMWSxu2,27,0.697,0.323,1,-7.609,1,0.057,0.848,0.0,183345,0.302,115.957,4,0.269,2021-05-20
spotify:track:0iwrY94pDzlxpPoZA7PT6K,24,0.521,0.746,2,-8.405,1,0.0297,0.789,0.788,210852,0.35,154.997,4,0.48,2021-05-26
